Sector_Group,Academic_Year,Freq
1-CUNY SR,2000,44730
2-CUNY CC,2000,25715
3-SUNY SO,2000,77890
4-SUNY CC,2000,54071
5-INDEPENDENT,2000,107064
6-BUS. DEGREE,2000,30522
7-BUS. NON-DEG,2000,4979
8-OTHER,2000,732
9-CHAPTER XXII,2000,0
1-CUNY SR,2001,45081
2-CUNY CC,2001,24871
3-SUNY SO,2001,81172
4-SUNY CC,2001,57041
5-INDEPENDENT,2001,109144
6-BUS. DEGREE,2001,34494
7-BUS. NON-DEG,2001,4777
8-OTHER,2001,806
9-CHAPTER XXII,2001,0
1-CUNY SR,2002,47715
2-CUNY CC,2002,26639
3-SUNY SO,2002,82643
4-SUNY CC,2002,62021
5-INDEPENDENT,2002,111687
6-BUS. DEGREE,2002,38111
7-BUS. NON-DEG,2002,4605
8-OTHER,2002,975
9-CHAPTER XXII,2002,0
1-CUNY SR,2003,52624
2-CUNY CC,2003,29118
3-SUNY SO,2003,85540
4-SUNY CC,2003,67082
5-INDEPENDENT,2003,113802
6-BUS. DEGREE,2003,42153
7-BUS. NON-DEG,2003,4169
8-OTHER,2003,1008
9-CHAPTER XXII,2003,0
1-CUNY SR,2004,55663
2-CUNY CC,2004,30141
3-SUNY SO,2004,86150
4-SUNY CC,2004,70392
5-INDEPENDENT,2004,112531
6-BUS. DEGREE,2004,46092
7-BUS. NON-DEG,2004,3049
8-OTHER,2004,1032
9-CHAPTER XXII,2004,0
1-CUNY SR,2005,57209
2-CUNY CC,2005,29204
3-SUNY SO,2005,86198
4-SUNY CC,2005,68862
5-INDEPENDENT,2005,109201
6-BUS. DEGREE,2005,44130
7-BUS. NON-DEG,2005,2800
8-OTHER,2005,988
9-CHAPTER XXII,2005,0
1-CUNY SR,2006,56584
2-CUNY CC,2006,27554
3-SUNY SO,2006,86187
4-SUNY CC,2006,68383
5-INDEPENDENT,2006,105392
6-BUS. DEGREE,2006,39353
7-BUS. NON-DEG,2006,2463
8-OTHER,2006,999
9-CHAPTER XXII,2006,0
1-CUNY SR,2007,56833
2-CUNY CC,2007,28250
3-SUNY SO,2007,82457
4-SUNY CC,2007,68633
5-INDEPENDENT,2007,99904
6-BUS. DEGREE,2007,36428
7-BUS. NON-DEG,2007,2291
8-OTHER,2007,196
9-CHAPTER XXII,2007,0
1-CUNY SR,2008,58634
2-CUNY CC,2008,30288
3-SUNY SO,2008,81954
